Squad,# Pl,Poss,90s,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,League,Season
Belgrano,32,48.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Boca Juniors,32,59.2,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Cen. Córdoba–SdE,26,43.8,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Colón,28,47.0,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Defensa y Just,34,50.1,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Estudiantes–LP,29,53.2,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Gimnasia–LP,35,47.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Godoy Cruz,28,48.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Huracán,30,50.0,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Independiente,30,47.5,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Instituto,27,49.6,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Lanús,30,47.1,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Newell's OB,32,58.2,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Platense,28,44.6,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Racing Club,36,59.3,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
River Plate,29,63.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Rosario Central,27,46.6,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
San Lorenzo,29,47.2,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Sarmiento,32,37.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Talleres,31,49.7,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Tigre,27,54.8,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Unión,29,47.2,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Vélez Sarsfield,27,52.0,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Arg Juniors,32,56.3,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Atlé Tucumán,29,47.7,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Banfield,43,45.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Barracas Central,34,45.7,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Belgrano,35,48.5,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Boca Juniors,39,56.5,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Cen. Córdoba–SdE,44,52.7,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Defensa y Just,37,54.1,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Deportivo Riestra,36,31.6,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Estudiantes–LP,37,56.1,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
