Squad,# Pl,90s,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,League,Season
Platense,28,27.0,,,,,,,483,,,,,,,,,Primera Division Argentina,2023
Racing Club,36,27.0,,,,,,,498,,,,,,,,,Primera Division Argentina,2023
River Plate,29,27.0,,,,,,,524,,,,,,,,,Primera Division Argentina,2023
Rosario Central,27,27.0,,,,,,,483,,,,,,,,,Primera Division Argentina,2023
San Lorenzo,29,27.0,,,,,,,553,,,,,,,,,Primera Division Argentina,2023
Sarmiento,32,27.0,,,,,,,509,,,,,,,,,Primera Division Argentina,2023
Talleres,31,27.0,,,,,,,386,,,,,,,,,Primera Division Argentina,2023
Tigre,27,27.0,,,,,,,605,,,,,,,,,Primera Division Argentina,2023
Unión,29,27.0,,,,,,,556,,,,,,,,,Primera Division Argentina,2023
Vélez Sarsfield,27,27.0,,,,,,,453,,,,,,,,,Primera Division Argentina,2023
Arg Juniors,32,27.0,,,,,,,618,,,,,,,,,Primera Division Argentina,2024
Atlé Tucumán,29,27.0,,,,,,,487,,,,,,,,,Primera Division Argentina,2024
Banfield,43,27.0,,,,,,,563,,,,,,,,,Primera Division Argentina,2024
Barracas Central,34,27.0,,,,,,,449,,,,,,,,,Primera Division Argentina,2024
Belgrano,35,27.0,,,,,,,563,,,,,,,,,Primera Division Argentina,2024
Boca Juniors,39,27.0,,,,,,,569,,,,,,,,,Primera Division Argentina,2024
Cen. Córdoba–SdE,44,27.0,,,,,,,407,,,,,,,,,Primera Division Argentina,2024
Defensa y Just,37,27.0,,,,,,,512,,,,,,,,,Primera Division Argentina,2024
Deportivo Riestra,36,27.0,,,,,,,384,,,,,,,,,Primera Division Argentina,2024
Estudiantes–LP,37,27.0,,,,,,,583,,,,,,,,,Primera Division Argentina,2024
Gimnasia–LP,39,27.0,,,,,,,634,,,,,,,,,Primera Division Argentina,2024
Godoy Cruz,40,27.0,,,,,,,511,,,,,,,,,Primera Division Argentina,2024
Huracán,29,27.0,,,,,,,503,,,,,,,,,Primera Division Argentina,2024
Ind. Rivadavia,38,27.0,,,,,,,504,,,,,,,,,Primera Division Argentina,2024
Independiente,33,27.0,,,,,,,466,,,,,,,,,Primera Division Argentina,2024
Instituto,26,27.0,,,,,,,577,,,,,,,,,Primera Division Argentina,2024
Lanús,34,27.0,,,,,,,533,,,,,,,,,Primera Division Argentina,2024
Newell's OB,43,27.0,,,,,,,561,,,,,,,,,Primera Division Argentina,2024
Platense,35,27.0,,,,,,,573,,,,,,,,,Primera Division Argentina,2024
Racing Club,32,27.0,,,,,,,553,,,,,,,,,Primera Division Argentina,2024
River Plate,37,27.0,,,,,,,631,,,,,,,,,Primera Division Argentina,2024
Rosario Central,36,27.0,,,,,,,551,,,,,,,,,Primera Division Argentina,2024
San Lorenzo,38,27.0,,,,,,,526,,,,,,,,,Primera Division Argentina,2024
Sarmiento,37,27.0,,,,,,,443,,,,,,,,,Primera Division Argentina,2024
Talleres,34,27.0,,,,,,,492,,,,,,,,,Primera Division Argentina,2024
Tigre,35,27.0,,,,,,,482,,,,,,,,,Primera Division Argentina,2024
Unión,28,27.0,,,,,,,590,,,,,,,,,Primera Division Argentina,2024
Vélez Sarsfield,33,27.0,,,,,,,503,,,,,,,,,Primera Division Argentina,2024
Aldosivi,28,13.0,,,,,,,212,,,,,,,,,Copa de la Liga,2021
Arg Juniors,30,13.0,,,,,,,253,,,,,,,,,Copa de la Liga,2021
Arsenal,34,13.0,,,,,,,232,,,,,,,,,Copa de la Liga,2021
Atlé Tucumán,26,13.0,,,,,,,250,,,,,,,,,Copa de la Liga,2021
Banfield,33,13.0,,,,,,,278,,,,,,,,,Copa de la Liga,2021
Boca Juniors,32,15.7,,,,,,,256,,,,,,,,,Copa de la Liga,2021
Cen. Córdoba–SdE,27,13.0,,,,,,,208,,,,,,,,,Copa de la Liga,2021
Colón,25,16.3,,,,,,,251,,,,,,,,,Copa de la Liga,2021
Defensa y Just,39,13.0,,,,,,,203,,,,,,,,,Copa de la Liga,2021
Estudiantes–LP,26,14.3,,,,,,,288,,,,,,,,,Copa de la Liga,2021
Gimnasia–LP,32,13.0,,,,,,,231,,,,,,,,,Copa de la Liga,2021
Godoy Cruz,26,13.0,,,,,,,228,,,,,,,,,Copa de la Liga,2021
Huracán,27,13.0,,,,,,,298,,,,,,,,,Copa de la Liga,2021
Independiente,27,15.3,,,,,,,205,,,,,,,,,Copa de la Liga,2021
Lanús,24,13.0,,,,,,,239,,,,,,,,,Copa de la Liga,2021
Newell's OB,31,13.0,,,,,,,186,,,,,,,,,Copa de la Liga,2021
Patronato,29,13.0,,,,,,,280,,,,,,,,,Copa de la Liga,2021
Platense,27,13.0,,,,,,,219,,,,,,,,,Copa de la Liga,2021
Racing Club,31,16.3,,,,,,,315,,,,,,,,,Copa de la Liga,2021
