Squad,# Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,League,Season
Instituto,27,27.0,,318,,,,,,,,,,,234,,,,Primera Division Argentina,2023
Lanús,30,27.0,,297,,,,,,,,,,,261,,,,Primera Division Argentina,2023
Newell's OB,32,27.0,,267,,,,,,,,,,,258,,,,Primera Division Argentina,2023
Platense,28,27.0,,334,,,,,,,,,,,261,,,,Primera Division Argentina,2023
Racing Club,36,27.0,,306,,,,,,,,,,,230,,,,Primera Division Argentina,2023
River Plate,29,27.0,,327,,,,,,,,,,,229,,,,Primera Division Argentina,2023
Rosario Central,27,27.0,,339,,,,,,,,,,,291,,,,Primera Division Argentina,2023
San Lorenzo,29,27.0,,286,,,,,,,,,,,233,,,,Primera Division Argentina,2023
Sarmiento,32,27.0,,328,,,,,,,,,,,243,,,,Primera Division Argentina,2023
Talleres,31,27.0,,288,,,,,,,,,,,227,,,,Primera Division Argentina,2023
Tigre,27,27.0,,298,,,,,,,,,,,287,,,,Primera Division Argentina,2023
Unión,29,27.0,,350,,,,,,,,,,,256,,,,Primera Division Argentina,2023
Vélez Sarsfield,27,27.0,,331,,,,,,,,,,,302,,,,Primera Division Argentina,2023
Arg Juniors,32,27.0,,311,,,,,,,,,,,254,,,,Primera Division Argentina,2024
Atlé Tucumán,29,27.0,,346,,,,,,,,,,,229,,,,Primera Division Argentina,2024
Banfield,43,27.0,,368,,,,,,,,,,,240,,,,Primera Division Argentina,2024
Barracas Central,34,27.0,,304,,,,,,,,,,,251,,,,Primera Division Argentina,2024
Belgrano,35,27.0,,300,,,,,,,,,,,253,,,,Primera Division Argentina,2024
Boca Juniors,39,27.0,,319,,,,,,,,,,,231,,,,Primera Division Argentina,2024
Cen. Córdoba–SdE,44,27.0,,323,,,,,,,,,,,227,,,,Primera Division Argentina,2024
Defensa y Just,37,27.0,,282,,,,,,,,,,,256,,,,Primera Division Argentina,2024
Deportivo Riestra,36,27.0,,331,,,,,,,,,,,251,,,,Primera Division Argentina,2024
Estudiantes–LP,37,27.0,,314,,,,,,,,,,,280,,,,Primera Division Argentina,2024
Gimnasia–LP,39,27.0,,413,,,,,,,,,,,298,,,,Primera Division Argentina,2024
Godoy Cruz,40,27.0,,345,,,,,,,,,,,258,,,,Primera Division Argentina,2024
Huracán,29,27.0,,359,,,,,,,,,,,269,,,,Primera Division Argentina,2024
Ind. Rivadavia,38,27.0,,325,,,,,,,,,,,260,,,,Primera Division Argentina,2024
Independiente,33,27.0,,311,,,,,,,,,,,236,,,,Primera Division Argentina,2024
Instituto,26,27.0,,281,,,,,,,,,,,223,,,,Primera Division Argentina,2024
Lanús,34,27.0,,305,,,,,,,,,,,318,,,,Primera Division Argentina,2024
Newell's OB,43,27.0,,304,,,,,,,,,,,234,,,,Primera Division Argentina,2024
Platense,35,27.0,,394,,,,,,,,,,,302,,,,Primera Division Argentina,2024
Racing Club,32,27.0,,311,,,,,,,,,,,239,,,,Primera Division Argentina,2024
River Plate,37,27.0,,338,,,,,,,,,,,249,,,,Primera Division Argentina,2024
Rosario Central,36,27.0,,339,,,,,,,,,,,312,,,,Primera Division Argentina,2024
San Lorenzo,38,27.0,,343,,,,,,,,,,,244,,,,Primera Division Argentina,2024
Sarmiento,37,27.0,,296,,,,,,,,,,,249,,,,Primera Division Argentina,2024
Talleres,34,27.0,,306,,,,,,,,,,,242,,,,Primera Division Argentina,2024
Tigre,35,27.0,,311,,,,,,,,,,,245,,,,Primera Division Argentina,2024
Unión,28,27.0,,322,,,,,,,,,,,257,,,,Primera Division Argentina,2024
Vélez Sarsfield,33,27.0,,309,,,,,,,,,,,248,,,,Primera Division Argentina,2024
Aldosivi,28,13.0,,124,,,,,,,,,,,148,,,,Copa de la Liga,2021
Arg Juniors,30,13.0,,129,,,,,,,,,,,171,,,,Copa de la Liga,2021
Arsenal,34,13.0,,142,,,,,,,,,,,147,,,,Copa de la Liga,2021
Atlé Tucumán,26,13.0,,123,,,,,,,,,,,186,,,,Copa de la Liga,2021
Banfield,33,13.0,,122,,,,,,,,,,,183,,,,Copa de la Liga,2021
Boca Juniors,32,15.7,,127,,,,,,,,,,,176,,,,Copa de la Liga,2021
Cen. Córdoba–SdE,27,13.0,,132,,,,,,,,,,,184,,,,Copa de la Liga,2021
Colón,25,16.3,,189,,,,,,,,,,,228,,,,Copa de la Liga,2021
Defensa y Just,39,13.0,,111,,,,,,,,,,,154,,,,Copa de la Liga,2021
Estudiantes–LP,26,14.3,,122,,,,,,,,,,,194,,,,Copa de la Liga,2021
Gimnasia–LP,32,13.0,,131,,,,,,,,,,,151,,,,Copa de la Liga,2021
Godoy Cruz,26,13.0,,171,,,,,,,,,,,176,,,,Copa de la Liga,2021
Huracán,27,13.0,,131,,,,,,,,,,,142,,,,Copa de la Liga,2021
Independiente,27,15.3,,144,,,,,,,,,,,188,,,,Copa de la Liga,2021
Lanús,24,13.0,,146,,,,,,,,,,,166,,,,Copa de la Liga,2021
Newell's OB,31,13.0,,135,,,,,,,,,,,156,,,,Copa de la Liga,2021
Patronato,29,13.0,,158,,,,,,,,,,,168,,,,Copa de la Liga,2021
Platense,27,13.0,,118,,,,,,,,,,,184,,,,Copa de la Liga,2021
Racing Club,31,16.3,,151,,,,,,,,,,,196,,,,Copa de la Liga,2021
River Plate,28,14.3,,141,,,,,,,,,,,154,,,,Copa de la Liga,2021
Rosario Central,26,13.0,,126,,,,,,,,,,,144,,,,Copa de la Liga,2021
San Lorenzo,31,13.0,,138,,,,,,,,,,,182,,,,Copa de la Liga,2021
Sarmiento,29,13.0,,169,,,,,,,,,,,172,,,,Copa de la Liga,2021
Talleres,25,14.3,,151,,,,,,,,,,,177,,,,Copa de la Liga,2021
Unión,26,13.0,,124,,,,,,,,,,,176,,,,Copa de la Liga,2021
Vélez Sarsfield,27,14.0,,166,,,,,,,,,,,153,,,,Copa de la Liga,2021
Aldosivi,26,15.0,,165,,,,,,,,,,,201,,,,Copa de la Liga,2022
Arg Juniors,22,16.3,,177,,,,,,,,,,,145,,,,Copa de la Liga,2022
Arsenal,27,14.0,,169,,,,,,,,,,,169,,,,Copa de la Liga,2022
Atlé Tucumán,29,14.0,,135,,,,,,,,,,,156,,,,Copa de la Liga,2022
Banfield,29,14.0,,156,,,,,,,,,,,169,,,,Copa de la Liga,2022
Barracas Central,27,14.0,,128,,,,,,,,,,,175,,,,Copa de la Liga,2022
Boca Juniors,29,17.3,,192,,,,,,,,,,,173,,,,Copa de la Liga,2022
Cen. Córdoba–SdE,28,14.0,,155,,,,,,,,,,,184,,,,Copa de la Liga,2022
Colón,29,14.0,,146,,,,,,,,,,,152,,,,Copa de la Liga,2022
Defensa y Just,23,15.0,,150,,,,,,,,,,,156,,,,Copa de la Liga,2022
Estudiantes–LP,31,15.3,,168,,,,,,,,,,,161,,,,Copa de la Liga,2022
Gimnasia–LP,24,14.0,,169,,,,,,,,,,,147,,,,Copa de la Liga,2022
Godoy Cruz,23,14.0,,169,,,,,,,,,,,131,,,,Copa de la Liga,2022
Huracán,28,14.0,,153,,,,,,,,,,,143,,,,Copa de la Liga,2022
Independiente,31,14.0,,153,,,,,,,,,,,127,,,,Copa de la Liga,2022
Lanús,28,14.0,,153,,,,,,,,,,,157,,,,Copa de la Liga,2022
Newell's OB,28,14.0,,155,,,,,,,,,,,141,,,,Copa de la Liga,2022
Patronato,26,14.0,,175,,,,,,,,,,,154,,,,Copa de la Liga,2022
Platense,27,14.0,,151,,,,,,,,,,,132,,,,Copa de la Liga,2022
Racing Club,25,16.3,,182,,,,,,,,,,,168,,,,Copa de la Liga,2022
River Plate,26,15.0,,175,,,,,,,,,,,152,,,,Copa de la Liga,2022
Rosario Central,25,14.0,,178,,,,,,,,,,,114,,,,Copa de la Liga,2022
San Lorenzo,29,14.0,,154,,,,,,,,,,,134,,,,Copa de la Liga,2022
Sarmiento,27,14.0,,114,,,,,,,,,,,130,,,,Copa de la Liga,2022
Talleres,30,14.0,,135,,,,,,,,,,,179,,,,Copa de la Liga,2022
Tigre,23,17.0,,230,,,,,,,,,,,185,,,,Copa de la Liga,2022
Unión,26,14.0,,124,,,,,,,,,,,140,,,,Copa de la Liga,2022
Vélez Sarsfield,27,14.0,,175,,,,,,,,,,,159,,,,Copa de la Liga,2022
Arg Juniors,27,14.0,,153,,,,,,,,,,,108,,,,Copa de la Liga,2023
Arsenal,31,14.0,,154,,,,,,,,,,,137,,,,Copa de la Liga,2023
