Squad,# Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att(GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,GoalKicks_Att,GoalKicks_Launch%,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,League,Season
Arsenal,1,27.0,34,5,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Atlé Tucumán,1,27.0,27,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Banfield,1,27.0,32,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Barracas Central,2,27.0,30,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Belgrano,2,27.0,26,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Boca Juniors,2,27.0,24,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Cen. Córdoba–SdE,2,27.0,30,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Colón,1,27.0,33,6,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Defensa y Just,2,27.0,23,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Estudiantes–LP,2,27.0,24,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Gimnasia–LP,2,27.0,38,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Godoy Cruz,2,27.0,32,7,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Huracán,2,27.0,29,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Independiente,1,27.0,32,5,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Instituto,2,27.0,35,5,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Lanús,2,27.0,27,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Newell's OB,1,27.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Platense,2,27.0,29,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Racing Club,2,27.0,35,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
River Plate,2,27.0,20,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Rosario Central,2,27.0,29,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
San Lorenzo,2,27.0,13,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Sarmiento,2,27.0,26,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Talleres,1,27.0,23,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Tigre,2,27.0,29,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Unión,2,27.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Vélez Sarsfield,2,27.0,27,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2023
Arg Juniors,1,27.0,28,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Atlé Tucumán,1,27.0,27,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Banfield,2,27.0,36,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Barracas Central,3,27.0,33,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Belgrano,3,27.0,32,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Boca Juniors,2,27.0,23,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Cen. Córdoba–SdE,2,27.0,36,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Defensa y Just,2,27.0,33,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Deportivo Riestra,2,27.0,27,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Estudiantes–LP,2,27.0,34,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Gimnasia–LP,2,27.0,22,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Godoy Cruz,2,27.0,28,0,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Huracán,2,27.0,18,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Ind. Rivadavia,2,27.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Independiente,1,27.0,17,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Instituto,1,27.0,31,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Lanús,2,27.0,31,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Newell's OB,3,27.0,35,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Platense,2,27.0,18,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Racing Club,2,27.0,30,1,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
River Plate,3,27.0,21,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Rosario Central,2,27.0,30,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
San Lorenzo,4,27.0,26,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Sarmiento,3,27.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Talleres,2,27.0,27,4,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Tigre,2,27.0,30,3,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Unión,2,27.0,26,6,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Vélez Sarsfield,3,27.0,16,2,,,,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
