Squad,# Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,League,Season
Estudiantes–LP,29,27.0,,,,,,,,,,,,,,,26,,,,,,Primera Division Argentina,2023
Gimnasia–LP,35,27.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2023
Godoy Cruz,28,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2023
Huracán,30,27.0,,,,,,,,,,,,,,,11,,,,,,Primera Division Argentina,2023
Independiente,30,27.0,,,,,,,,,,,,,,,9,,,,,,Primera Division Argentina,2023
Instituto,27,27.0,,,,,,,,,,,,,,,18,,,,,,Primera Division Argentina,2023
Lanús,30,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2023
Newell's OB,32,27.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2023
Platense,28,27.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2023
Racing Club,36,27.0,,,,,,,,,,,,,,,24,,,,,,Primera Division Argentina,2023
River Plate,29,27.0,,,,,,,,,,,,,,,31,,,,,,Primera Division Argentina,2023
Rosario Central,27,27.0,,,,,,,,,,,,,,,29,,,,,,Primera Division Argentina,2023
San Lorenzo,29,27.0,,,,,,,,,,,,,,,10,,,,,,Primera Division Argentina,2023
Sarmiento,32,27.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2023
Talleres,31,27.0,,,,,,,,,,,,,,,32,,,,,,Primera Division Argentina,2023
Tigre,27,27.0,,,,,,,,,,,,,,,17,,,,,,Primera Division Argentina,2023
Unión,29,27.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2023
Vélez Sarsfield,27,27.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2023
Arg Juniors,32,27.0,,,,,,,,,,,,,,,12,,,,,,Primera Division Argentina,2024
Atlé Tucumán,29,27.0,,,,,,,,,,,,,,,20,,,,,,Primera Division Argentina,2024
Banfield,43,27.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2024
Barracas Central,34,27.0,,,,,,,,,,,,,,,10,,,,,,Primera Division Argentina,2024
Belgrano,35,27.0,,,,,,,,,,,,,,,25,,,,,,Primera Division Argentina,2024
Boca Juniors,39,27.0,,,,,,,,,,,,,,,18,,,,,,Primera Division Argentina,2024
