id,teamId,team_name,rank,type,stat_name,value,sub_value,League,Season
202757,202757,Sarmiento,5,teams,expected_goals_conceded_team,5.1,7,Argentina Copa de la Liga,2021
10103,10103,Gimnasia LP,6,teams,expected_goals_conceded_team,4.9,15,Argentina Copa de la Liga,2021
10227,10227,Godoy Cruz,7,teams,expected_goals_conceded_team,4.9,10,Argentina Copa de la Liga,2021
10088,10088,Colon,8,teams,expected_goals_conceded_team,4.7,10,Argentina Copa de la Liga,2021
10098,10098,Arsenal Sarandi,9,teams,expected_goals_conceded_team,4.7,9,Argentina Copa de la Liga,2021
10079,10079,Velez Sarsfield,10,teams,expected_goals_conceded_team,4.5,5,Argentina Copa de la Liga,2021
10083,10083,San Lorenzo,11,teams,expected_goals_conceded_team,4.4,6,Argentina Copa de la Liga,2021
10096,10096,Union,12,teams,expected_goals_conceded_team,4.1,8,Argentina Copa de la Liga,2021
161730,161730,Defensa y Justicia,13,teams,expected_goals_conceded_team,4.0,13,Argentina Copa de la Liga,2021
161728,161728,Aldosivi,14,teams,expected_goals_conceded_team,3.9,12,Argentina Copa de la Liga,2021
10084,10084,Rosario Central,15,teams,expected_goals_conceded_team,3.6,10,Argentina Copa de la Liga,2021
10082,10082,Lanus,16,teams,expected_goals_conceded_team,3.5,11,Argentina Copa de la Liga,2021
213596,213596,Central Cordoba de Santiago,17,teams,expected_goals_conceded_team,3.5,10,Argentina Copa de la Liga,2021
10080,10080,Racing Club,18,teams,expected_goals_conceded_team,3.1,11,Argentina Copa de la Liga,2021
10201,10201,Newell's Old Boys,19,teams,expected_goals_conceded_team,2.9,11,Argentina Copa de la Liga,2021
10081,10081,Huracan,20,teams,expected_goals_conceded_team,2.6,11,Argentina Copa de la Liga,2021
10094,10094,Estudiantes,21,teams,expected_goals_conceded_team,2.5,6,Argentina Copa de la Liga,2021
10086,10086,Argentinos Juniors,22,teams,expected_goals_conceded_team,2.4,5,Argentina Copa de la Liga,2021
10101,10101,Talleres,23,teams,expected_goals_conceded_team,2.3,9,Argentina Copa de la Liga,2021
10077,10077,Boca Juniors,24,teams,expected_goals_conceded_team,2.2,6,Argentina Copa de la Liga,2021
161727,161727,Atletico Tucuman,25,teams,expected_goals_conceded_team,1.9,9,Argentina Copa de la Liga,2021
10076,10076,River Plate,26,teams,expected_goals_conceded_team,1.1,7,Argentina Copa de la Liga,2021
213534,213534,Barracas Central,1,teams,expected_goals_conceded_team,39.0,33,Argentina Primera Division,2024
10087,10087,Banfield,2,teams,expected_goals_conceded_team,36.5,36,Argentina Primera Division,2024
202757,202757,Sarmiento,3,teams,expected_goals_conceded_team,35.7,28,Argentina Primera Division,2024
10077,10077,Boca Juniors,4,teams,expected_goals_conceded_team,34.8,23,Argentina Primera Division,2024
298629,298629,Deportivo Riestra,5,teams,expected_goals_conceded_team,33.9,27,Argentina Primera Division,2024
161730,161730,Defensa y Justicia,6,teams,expected_goals_conceded_team,33.4,33,Argentina Primera Division,2024
10227,10227,Godoy Cruz,7,teams,expected_goals_conceded_team,32.2,28,Argentina Primera Division,2024
10082,10082,Lanus,8,teams,expected_goals_conceded_team,31.6,31,Argentina Primera Division,2024
10092,10092,Belgrano,9,teams,expected_goals_conceded_team,31.2,32,Argentina Primera Division,2024
89396,89396,Tigre,10,teams,expected_goals_conceded_team,31.1,30,Argentina Primera Division,2024
10090,10090,Instituto,11,teams,expected_goals_conceded_team,30.7,31,Argentina Primera Division,2024
213596,213596,Central Cordoba de Santiago,12,teams,expected_goals_conceded_team,30.1,36,Argentina Primera Division,2024
10094,10094,Estudiantes,13,teams,expected_goals_conceded_team,29.0,34,Argentina Primera Division,2024
10103,10103,Gimnasia LP,14,teams,expected_goals_conceded_team,28.9,23,Argentina Primera Division,2024
161727,161727,Atletico Tucuman,15,teams,expected_goals_conceded_team,28.8,27,Argentina Primera Division,2024
10201,10201,Newell's Old Boys,16,teams,expected_goals_conceded_team,28.4,35,Argentina Primera Division,2024
10080,10080,Racing Club,17,teams,expected_goals_conceded_team,27.6,30,Argentina Primera Division,2024
161729,161729,Independiente Rivadavia,18,teams,expected_goals_conceded_team,27.4,25,Argentina Primera Division,2024
10096,10096,Union,19,teams,expected_goals_conceded_team,27.0,26,Argentina Primera Division,2024
10083,10083,San Lorenzo,20,teams,expected_goals_conceded_team,26.5,26,Argentina Primera Division,2024
10084,10084,Rosario Central,21,teams,expected_goals_conceded_team,26.4,30,Argentina Primera Division,2024
10076,10076,River Plate,22,teams,expected_goals_conceded_team,26.2,21,Argentina Primera Division,2024
10086,10086,Argentinos Juniors,23,teams,expected_goals_conceded_team,25.9,28,Argentina Primera Division,2024
10081,10081,Huracan,24,teams,expected_goals_conceded_team,25.2,18,Argentina Primera Division,2024
10101,10101,Talleres,25,teams,expected_goals_conceded_team,25.1,27,Argentina Primera Division,2024
